wilderness	n. 荒野, 荒地
force	n. 力量,武力,暴力,影响力 vt. 施暴,强迫,强夺,加压力 [计算机] 强制
satisfy	vt. 使...满意, 使...信服 vi. 足够, 取悦
terminator	n. 终结者，（月球等的）明暗界限
license	n. 批准,许可证,特许 vt. 允许,特许
ordeal	n. 严酷的考验，痛苦的经验，神裁法
impartial	adj. 公平的, 不偏不倚的
exterior	n. 外部, 表面, 外型 adj. 外部的, 外在的, 表面的 [计算机] 外部的
scale	n. 鳞, 刻度, 衡量, 数值范围 v. 依比例决定, 攀登
entirely	adv. 完全地
imagination	n. 想象,想象力,空想
scholar	n. 学者，获奖学金的学生
erode	vt. 腐蚀,侵蚀 vi. 受到侵蚀
toxic	adj. 有毒的 n. 有毒物质
commission	n. 委任(状), 任官令; 委员会 n. 佣金; 犯罪行为 vt. 委任, 委托; 使服役
rejection	n. 拒绝, 被弃, 被抛弃的实例
coordinator	n. 协调者,同等的人或物 [计算机] 协调程序
patron	n. 赞助人, 保护人, 老主顾
substance	n. 物质,实质,内容,重要性,财产
occasion	n. 场合,机会,理由 vt. 致使,惹起,引起
occupy	vt. 占领,占,住进
occur	vi.发生； 出现； 闪现
frighten	v. 使惊吓, 惊恐
elicit	vt. 引出,诱探出
periodic	adj. 周期的, 定期的，间歇的，完句的
blame	n. 过失,责备 vt.把...归咎于,责备
arrange	vt. 安排,整理,计划,改编(乐曲) vi. 协商,计划
arrangement	n. 安排,商议,整理
ecosystem	n. 生态系统
injure	v. 伤害, 使...受冤屈
volunteer	n. 志愿者,自行生长的植物 adj. 志愿的,自行生长的(树等) vt. &vi. 自愿(做)
concern	vt. 涉及, 影响, 关心 n. 关心, 忧虑, 关心的事; 公司, 企业
contrary	adj. 相反的,截然不同的 adv. 相反(地) n. 反面,相反
continuity	n. 连续性
warrant	n. 正当理由,根据,委任状,准许 vt. 保证,辩解,担保, 授权
skepticism	n. 怀疑论, 怀疑态度, 怀疑主义
supreme	adj. 最高的, 至上的, 极度的
digress	v. 走向岔道, 离开本题, 扯到枝节上
absorb	v. 吸收,吸引...的注意,使全神贯注
ponder	vt. &vi. 沉思,考虑
abundant	adj. 丰富的,充裕的
consent	n. 同意, 许可 v. 同意, 承诺
astronomer	n. 天文学家
sustain	vt. 承受, 支持, 经受, 维持
rationality	n. 理性，合理性 （复数）rationalities:合理的意见（信仰、行为等）
benign	adj. 仁慈的,温和的,良性的
perceptive	adj. 知觉的, 有洞察力的, 感知的
adaption	n. 由原著改编而成的作品 =adaptation
security	n.安全； 保证，担保； 保护，防护； 有价证券 adj.安全的，保安的，保密的
unity	n. 个体, 一致, 结合
producer	n. 生产者, 制片人
corruption	n. 腐败, 堕落, 贪污
machinery	n. (总称)机器, 机械
puzzle	n. 难题,迷惑 vt. 使困惑,解决 vi. 迷惑,苦思
concurrent	adj. 同时发生的
blatant	adj. 喧嚣的,吵闹的,俗丽的,明目张胆的
plagiarism	n. 剽窃,剽窃物
opponent	n. 对手, 敌手, 反对者 adj. 敌对的, 反对的
opportunity	n. 机会, 时机
major	n. 主修, 成年人, 陆军少校; 巨头 adj. 主要的, 较多的, 大部份的 vi. 主修
endure	vt. 忍耐,容忍 vi. 持久,持续
quote	n. 引用 v. 引述, 举证, 报价
enigma	n. 费解的事情，谜，谜一般的人
correspond	vi. 符合,通信,相当
qualitative	adj. 性质上的, 质的, 定性的
questionable	adj. 可疑的, 可置疑的
enrolment	n. 登记,招收，入学
inspirational	adj. 带有灵感的, 给予灵感的, 灵感的
original	adj. 最初的, 原始的; 有独创性的, 原版的 n. 原件, 原稿; 有独创性的人, 怪人
ignorance	n. 无知
comparable	adj. 可比较的, 比得上的
phenomenal	adj. 现象的, 可感知的, 非凡的
equipment	n. 设备,装备
scanner	n. 扫描机, 扫描仪
infer	vt. 推断,猜测,暗示 vi. 推论
alternative	adj. 两者择一的; 供选择的; 非主流的 n. 替换物, 取舍
covert	adj. 隐蔽的, 偷偷摸摸的, 隐密的n. 藉口, 树丛, 蔽覆羽翮基部的羽毛
reconcile	vt. 和解,调和,妥协 vi. 调和
accounting	n. 会计
domination	n. 支配, 控制, 管辖 （复数）dominations:[宗]主天使
commonwealth	n. 共和国,联邦
ingenious	adj. 机灵的,精制的,有独创性的
weaken	v. 使...弱, 变弱, 弄淡
wealth	n. 财产,财富,大量,丰富
reaction	n. 反应,反作用力,化学反应
rehabilitate	vt. 改造, 使康复, 使恢复（名誉等）
disruptive	adj. 捣乱的, 破坏性的, 制造混乱的
incidence	n. 发生(率),入射
technical	adj. 工艺的, 技术的
remorse	n. 懊悔,悔恨 n.
consistency	n. 坚持, 一致性, 强度, 硬度, 浓稠度
engage	v. 答应, 预定, 使忙碌, 雇佣, 订婚
herbal	adj. 草药的
cultivate	vt. 培养,耕作,栽培,结交(朋友), 促进增长, 教养
instruct	v. 教, 命令, 指导 [计算机] 指示
reprisal	n. 报复, 报仇, 报复性劫掠
administrative	adj. 行政的,管理的
suppose	vt.假定； 猜想，推测； 认为； 让（用于祈祷语气） vi.想象，猜想
infamous	adj. 无耻的,不名誉的,声名狼藉的
refuse	n.废物,垃圾 vt. &vi. 拒绝 adj. 无用的
measure	n. 措施, 办法, 量度, 尺寸 v. 测量, 量
calculate	vt. 计算,估计,考虑,推测 vi. 计算,预测,依赖
regardless	adj. 不注意的, 粗心的 adv. 不顾
expert	adj. 熟练的,内行的 n. 专家,能手 vi. 当专家
exclaim	v. 大叫, 呼喊, 大声叫
greeting	n. 问候,打招呼
melt	n. 熔化,熔化物 vt. &vi. 熔化,溶解, 软化, 渐渐混合
campaign	n. 战役; 运动, 活动 vt. 参加竞赛 vi. (从事, 组织)活动
theoretical	adj. 理论上的
explode	vt. 爆炸,驳倒 vi. 爆炸,爆发(感情)，激增 [计算机] 爆炸
sensor	n. 传感器，探测器
mental	adj. 精神的,脑力的,精神错乱的,传心术的,[解剖学]颏的
unstable	adj. 不稳定的，易变的
irregular	n. 不合规格之物 adj. 不规则的, 不整齐的, 不合法的
intrinsic	adj. 固有的, 内在的
remedy	n. 药物,治疗法,补救 vt. 治疗,补救,矫正
deprive	vt. 剥夺,拒绝,免职
withdraw	vt. 撤回,取回,撤退 vi. 退回,撤退
pattern	n. 图案, 式样, 典范 v. 以图案装饰; 仿造, 模仿
decrease	n. 减少(量),降低 vt.& vi. 减少,降低
regime	n. 政权，政体；社会制度；管理体制
faculty	n.能力，才能； 全体教职员； <英>（大学的）专科，系； 特权，特许
regard	vt.认为； 注视； 涉及； 尊敬 vi.凝视； 留意 n.凝视； 留意； 尊敬； 问候
expertise	n. 专家的意见,专门技术
neighbouring	adj. 接壤的, 邻近的 动词neighbour的现在分词形式 =neighboring(美)
define	vt. 定义, 解释
utter	adj. 全然的,绝对,完全 vt. &vi. 发出,作声,发表
finitude	n. 有限，限定
inhibition	n. 禁止, 禁制, 压抑
delete	vt. 删除
nostalgia	n. 乡愁, 向往过去, 怀旧之情
distort	vt. 变形,扭曲,歪曲 vi. 歪曲
afflict	vt. 使苦恼,折磨
allude	vi. 暗示,暗指
disrupt	adj. 分裂的,分散的 v. 使...分裂,使...瓦解
mechanical	adj. 机械的,力学的,呆板的    n.(供制版用的)样书, 版面设计
projectile	n. 发射体, 抛射物 adj. 发射的, 投射的
linger	vt. 消磨, 无所事事 vi. 逗留,消磨,徘徊,漫步
gist	n. 要点, 要旨
modest	adj. 谦虚的, 适度的, 端庄的
identification	n. 身份的证明 n. 视为同一,证明同一,确认
aloof	adj. 疏远的,冷淡的 adv. 远离,离开
responsibility	n. 责任, 可信度，责任心
fatal	adj. 致命的, 毁灭性的, 决定性的
restrain	vt. 抑制,阻止,束缚,剥夺
documentary	adj. 文献的 n. 纪录片
phenomenon	n. 现象, 非凡的人或事物
deterrent	adj. 制止, 防止, 挽留 n. 挽留的事物, 妨碍物
sabotage	n. 怠工,破坏活动,破坏 vt. 从事破坏活动,妨害,破坏
evolutionary	adj. 发展的(展开的,调优的)
devise	vt. 设计,遗赠 n. 遗赠(的财产)
aggravate	vt. 使...恶化,使...更严重 vt. [口]激怒
lien	n. 扣押权, 留置权
atmospheric	adj. 大气的，大气层的，制造气氛的
suffering	n. 痛苦,受难
feedback	n. 反馈,成果
configuration	n. 结构,布局,形态,格式塔心理完形 [计算机] 配置
dictate	vi. 听写 vt. 口述,口授 n. 命令,指挥,指令
appease	v. 安抚, 缓和, 平息，姑息
absorption	n. 吸收,全神贯注
malicious	adj. 怀恶意的, 恶毒的
identity	n. 身份,一致，特征
acknowledge	vt. 承认,公认,告知收到,表示感谢,注意到
tour	n. 旅游, 观光旅行, 任期 v. 旅行, 周游
figure	n. 图形, 数字, 形状; 人物, 外形, 体型 v. 演算, 认为, 领会到
towel	n. 毛巾 v. 用毛巾擦 vt. 用毛巾擦或擦干
label	n.标签； 称标记，符号； [建] 门或窗户上面的线脚 vt.贴标签于； 把…称为； 把…列为； [化]用放射性元素使（元素或原子等）示踪
avid	adj. 渴望的,贪婪的,热心的
manipulate	v. 操纵,利用,假造 [计算机] 操作
subtle	adj. 微妙的,敏感的,精细的,狡诈的,不明显的
plate	n. 碟,盘,金属板,板块 vt. 镀金,电镀,为...制印版,, 给...装钢板,用金属板固定
negative	adj. 否定的,负的,消极的 n. 底片，负数，否定 vt. 否定
allowance	n. 限额，定量 n. 津贴,零用钱
acquisition	n.获得； 购置物； 获得物； 收购
circle	n. 圆周,社交圈,循环 vt. &vi. 包围,盘旋,环绕
amateur	adj. 业余(爱好者)的 n. 业余爱好者,外行
multimedia	adj. 多媒体的 n. 多媒体
favourable	adj. 有用的, 良好的, 赞成的
miserly	adj. 吝啬的
disgust	n. 厌恶,嫌恶 vt. &vi. 令人厌恶
revolutionise	v. （使）发生革命性剧变 =revolutionize(美)
precede	vt. &vi. 在...之前,优于,较...优先
rotate	vt. &vi. (使)旋转,轮流 adj. 车轮状的
underestimate	n. 低估 v. 低估
particular	n. 个别项目, 详细说明 adj. 特别的, 独有的; 挑剔的; 详细的
prone	adj. 俯卧的, 易于...的, 有...倾向的
democracy	n. 民主,民主制,民主国家
excerpt	n. 摘录 v. 摘录,摘要 vt. 摘,引用
evade	v. 规避, 逃避, 躲避
division	n. 区分,分开,除法,公司,部门，师（军队里）
pop	n. 取出,砰然声,流行乐曲,流行文化艺术,（尤用作称呼）爸 adj. 流行的,热门的,通俗的 vt. 取出,发出爆裂声,突然伸出,击打,开火 vi. 发出砰的一声，（因激动、惊奇）张大 adv. 突然间地, 暴发地 POP abbr.=point of purchase POP abbr.=population 人口
consultant	n. 顾问, 咨询专家
altruistic	adj. 利他主义的, 无私的
deficit	n. 赤字,不足，缺乏
curriculum	n. 课程，全部课程
affiliate	n. 联号(联播台,同伙),附属机构,分公司 vt. &vi. 合并(使...加入,追源)
pursue	v. 追捕, 追求, 继续从事
forfeit	n. 没收物,罚金,丧失 vt. 没收,丧失 adj. 丧失了的
humanistic	adj. 人文主义的, 人本主义的, 人道主义的
formality	n. 礼节,程序,拘谨
formative	adj. 形成的, 造形的，影响发展的 n. 造字要素
fantasy	n. 幻想 v. 幻想
comedian	n. n. 喜剧演员
founder	n. 创立者, 建立者 v. 摔倒, 失败，沉没，弄跛
domain	n. 领域 [计算机] 域
preliminary	n. 初步行动, 准备, 初步措施 adj. 初步的, 开始的, 预备的
guidebook	n. 旅行指南，参考手册
orient	adj. [诗]东方的,闪闪发光的 n. 东方,珍珠,东方国家 vt. 使向东,确定方向,定位,以...为参照,使熟悉或适应 vi. 转向东方
present	n. 礼物, 现在 adj. 当面的, 出席的, 现在的 v. 赠送, 提出, 呈现
liberty	n. 自由；许可；冒失
flagrant	adj.臭名远扬的； 恶名昭著的； 明目张胆的
enquire	=inquire v. 询问, 调查
antidote	n. 解毒剂, 解药 n.(喻)矫正方法
inheritance	n. 遗传,遗产,继承,继承物
partner	n. 合作者,搭档,配偶 vt. &vi. 同...合作,做...的搭档, 合作
structure	n. 结构,构造,建筑物 v. 构成,建立,建造
observation	n. 观察,观察力,评论 adj. 被设计用来观察的
fragment	n. 碎片 vt. &vi. 变成碎片 [计算机] 碎片
mammal	n. 哺乳动物
transcend	v. 超越
obey	vt. &vi. 服从,听从
bewilder	vt. 使迷惑，使...不知所措
maximize	v. 取...最大值,最佳化 [计算机] 最大化
submit	vt. 呈送, 递交, 主张 vt. 使服从, 屈服 vi. 屈从; 忍受
obstacle	n. 障碍,绊脚石
obtain	vt. 获得, 得到 vi. 通用, 流行, 存在
capitalist	n. 资本家，资本主义者 adj. 资本主义的，有资本的
occupation	n. 职业
success	n. 成功,发财，胜利，成功者，成功的事物
approve	vt. 批准,核准,证实 vi. 赞同
obedient	adj. 服从的, 顺从的
during	prep. 在...期间
specially	adv. 特别地, 专门地
recognise	v. 承认, 识别, 认可
preventable	adj. 可防止的，可预防的
suit	n. 套装, 诉讼, 请求 v. 适合, 取悦, 满足
trajectory	n. 轨道,弹道,轨线
summary	n. 摘要,概要 adj. 摘要的,简略的
secrecy	n. 秘密，保密, 隐蔽
metaphor	n. 隐喻,暗喻
warehouse	n. 仓库 vt. 存入仓库
superficial	adj. 表面的,肤浅的
bold	adj. 大胆的,粗体的,醒目的，无礼的,陡峭的
apathy	n. 缺乏感情或兴趣,冷漠
abandon	n. 放纵 vt. 放弃,遗弃,沉溺
renaissance	n. 文艺复兴,再生
humor	n. 幽默,诙谐,心情 v. 迎合,牵就,顺应
circumscribe	vt. 在...周围画线, 限制
academic	n. 教学人员,学术人员 adj. 学院的,理论的,学术性的
boundary	n. 分界线, 边界
negotiation	n. 谈判, 协商
vary	vt. 改变,使多样化 vi. 变化,违背
tedious	adj. 沉闷的, 单调乏味的
malign	adj. 有害的, 恶性的, 有恶意的 vt. 诽谤, 说坏话
accuse	vt. 责备,控告
verify	v. 查证,核实 n.[计算机] DOS命令 : 打开关闭在 DOS操作期间的写文件校验开关
switch	n. 开关, 电门，闸，转换器, vt. &vi. 鞭打，转轨，交换，突然转变, 摆动，接通或切断…电流
setting	n.镶嵌； 环境； 装置； （某事、戏剧、小说等的）背景 v.放( set的现在分词)； 安插； 树立； 安排
corpus	n. [计] 语料库；文集；本金
embrace	n. 拥抱 v. 拥抱,互相拥抱,包含
settlement	[建]沉降; 解决, 结算,殖民(地), 租界; 居留地; 新建区; 住宅区
contrast	n.对比，对照； 差异； 对照物，对立面； [摄]反差
employ	vt. 使用, 雇用, 使忙于 n. 使用, 雇用
quantity	n. 量,数量,大量
brief	n. 摘要,简报,公事包 adj. 简短的,简洁的 v. 对...作简报,摘要
counselor	n. 顾问, 参事, 法律顾问
operation	n. 手术, 行动，活动, 操作
shallow	adj. 浅的, 肤浅的, 浅显易懂的 n. (pl.)浅滩, 浅处 v. 变浅
majority	n.多数； （获胜的）票数； 成年； 法定年龄
infant	adj. 婴儿的, 幼稚的, 初期的 n. 婴儿, 幼儿
coincide	v. 与...一致,符合,暗合
shell	n. 贝壳,壳,外形 vt. &vi. 去壳,脱落,炮击,拾贝壳 n.[计算机] DOS命令 : 安装备用的COMMAND.COM文件, 并改变环境尺寸
aggressive	adj. 侵略性的；好斗的；有进取心的；有闯劲的
announcement	n. 公告,发表,告知
humanity	n. 人类 人性;人道;慈爱
optimist	n. 乐观主义者
ensure	vt. 确定,保证,担保
nullify	v. 使无效, 废弃, 取消
flop	n. 砰然落下, 失败 v. 笨重的摔, 猛落, 笨拙地抛下 adv. 噗通的摔
distressed	adj.痛苦的  动词distress的过去式和过去分词
regenerate	vt. 再生(回收,革新) adj. 再生的(更新的,革新的)
bland	adj. 乏味的；温和的；冷漠的 vt. 使…变得淡而无味；除掉…的特性 vi. 变得平淡无奇；丧失特性
impulse	n. 冲动, 驱动力, 倾向, 心血来潮 vt. 推动
composer	n.创作者（尤指乐曲的）
mediate	adj. 居间的,间接的 vt.& vi. 斡旋,调停
transition	n. 过渡,转变
confidential	adj. 机密的,获他人信赖的,易于信任他人的
button	n. 钮扣,徽章,像纽扣的东西,未成熟的蘑菇,按钮 vt. 用纽扣装饰,钉纽扣,闭嘴 vi. 扣上
signal	n. 信号,导火线,动机 vt. 发信号,标志 vi. 发信号 adj. 显著的
poverty	n. 贫穷,贫困
reproduction	n. 再现, 复制, 生殖，幼树
insect	n. 昆虫
silly	adj. 愚蠢的,淳朴的,晕的
impulsive	adj. 冲动的, 受感情驱使的, 任性的
statistics	n. 统计；统计学；[统计] 统计资料
seldom	adv. 很少 adj. 很少的
delightful	adj. 令人愉快的, 可喜的
temperature	n. 温度,发烧
syndrome	n. 综合征，综合症状；（不良情况的）典型表现，典型行为
except	vt. 除,除外 prep.&conj. 除了...之外,若不是,除非
intend	v. 打算 vt. 想要,打算,计划
reference	n. 参考, 出处, 参照 n. 推荐人, 推荐函 vt. 提供参考
inject	v. 注射
grammatical	adj. 语法的, 合乎文法的
exclude	vt. 除外,排除,拒绝 [计算机] 排除
nutrition	n. 营养
excuse	n. 借口,理由；低劣的样品,假条 vt. 原谅,辩解,准许离开,同意赦免
interference	n. 冲突, 干涉 [计算机] 干涉
intermediate	adj. 中级的,中间的 n. 中间体,媒介物, 调解人 vi. 调解, 干涉
inflict	vt. 施以,加害,使遭受, 折磨
grasp	n. 把握,抓紧,领会  vt. 抓住,紧握,领会
scholarly	adj. 学究气的，学者派头的 名词scholar的形容词
interpretation	n. 解释,演出,翻译,互動
propel	v. 推进, 驱使
stereotype	n. 铅版,陈腔滥调,老一套 vt. 使用铅版,套用老套
susceptible	n. 易受影响者,易受感染者 adj. 易受影响的,易感动的,容许
discipline	n. 训练, 纪律, 惩罚; 学科 vt. 训练, 惩罚
agnostic	n. 不可知论者 adj. 不可知论的，不可知论者的
investment	n. 投资,投入,投资额
exploit	n. 功绩,勋绩 vt.&vi. 开发,利用,开拓
irrigation	n. 灌溉
external	n. 外部 adj. 外部的,外用的,客观的,表面的
deceive	vt. 欺骗 vi. 行骗
signature	n. 签署,书帖,有特征的符号
allergy	n. 敏感症,反感,厌恶
oscillation	n. 振动, 动摇, 彷徨，振幅，单一的振动循环
aspect	n. 方面, 外貌, 外观; 方位, 方向
flooding	n. 泛滥, [医]产后出血 adj. 泛滥的 动词flood的现在分词形式
adamant	adj. 非常坚硬的，强硬的，固执的 n. 坚硬无比之物，硬石
assure	vt. 保险,保证,确信,担保
definite	adj. 明确的,一定的
university	n. 大学
sole	adj. 唯一的, 独占的 n. 脚底, 鞋底; sole 或soles 鳎鱼 vt. 给(鞋)换底
directory	n. 目录,工商名录,指南 [计算机] 目录 adj. 给予指导的
depart	vt. 离开 vi. 离开,死亡,脱轨
disperse	vt. 分散,传播,散开 vi. 分散
resource	n. 资源,谋略,消遣
allergic	adj. 过敏的,反感的
divulge	v. 泄露, 暴露
description	n. 描写, 描述, 说明书, 作图 n. 类型
harsh	adj. 粗糙的, 使人不舒服的，刺耳的, 严厉的，大约的
lobby	n. 大厅, 门廊, 门厅, 休息室, 游说议员者 v. 游说
locality	n. 地区，位置，地点，发生地
desire	n. 愿望, 欲望, 情欲 v. 向往, 要求, 请求 vt. 渴望
personal	adj. 私人的,个人的 n. (报刊的)私人专栏
monitor	n. 监督器, 班长, 监听员, [计算机]显示器, 监视器 v. 监视, 监听, 监督
broadband	n.宽频带, 宽带 adj.宽频带的
mood	n. 心情, 情绪, 语气
activate	v. 刺激,使...活动,创设
prevail	vi. 获胜, 盛行, 主导
administer	vt. 管理,执行,给与 vi. 执行管理人职责,给与帮助
phrase	n. 短语,习语,个人风格,乐句 vt. 措词表达,将(乐曲)分成乐句(来演奏)
longevity	n. 长寿
motive	adj. 发动的,运动的,积极的,动机的 n. 动机, 主题 vt. 促使, 使有动机
flaunt	v. 挥动, 夸耀, （厚颜无耻地）炫耀, 飘扬，张扬
revolutionary	adj. 革命的 n. 革命者
toughen	v. 使...坚韧, 使...顽固
fiction	n. 小说,虚构
apprehensive	adj. 惴惴不安的,敏悟的,有知觉的
operative	adj. 有效的, 至关重要的, 操作的，手术的 n. 技工，侦探
fierce	adj. 猛烈的, 凶猛的, 残暴的, 强烈的
automobile	n. 汽车 adj. 汽车的
available	adj. 可用的,可得到的,有用的，有效的
insight	n. 洞察力
conversion	n. 转变, 改变信仰, 换位
direct	adj. 笔直的,直接的,坦白的 vt. 指挥，命令，负责 vi. 指导，指出
auction	n. 拍卖 vt. 拍卖
finance	n. 财政, 资金 vt. 给...提供资金, 负担经费
menial	adj. 适合仆人做的, 卑微的 n. 佣人，家仆，卑贱的人
foresight	n. 远见, 深谋远虑
immediacy	n. 直接，目前，密接，及时性，紧迫性
bargain	n. 交易,买卖,物美价廉的东西 vi. 议价 vt. 议价交易
launcher	n. 发射者，发射物，发射台
surpass	vt. 超越,凌驾,胜过
absorbing	adj. 吸引人的, 非常有趣的 动词absorb的现在分词
neighbour	n. 邻居(邻近的东西, 邻近值) vt 邻接(相邻, 接近)
authentic	adj. 可靠的,可信的,真的,真正的
relatively	adv. 比较地, 相对地
disorder	n. 杂乱,混乱 vt. 扰乱
clarify	vt. 澄清,阐明,使...明晰
police	adj. 警察的 n. 警察,警方 v. 管辖
motorway	n. (英）高速公路
explicit	adj. 明确的,详述的，明晰的,外在的
floppy	adj. 叭塌叭塌响的,懒散的,邋遢的
magnitude	n.巨大，广大； 重大，重要； 量级； （地震）级数
preventative	adj. 预防性的 n. 预防法
neutral	adj. 中立的,中性的 n. 中立者,空挡的,素净色
succumb	v. 屈从, 死
embed	vt. 栽种，使嵌入，使深留脑中
leading	n. 领导, 疏导, 铅板 adj. 领导的, 主要的, 在前的 vbl. 领导, 引领, 以铅接合 [计算机] 行间空白
portion	n. 部分,份,命运 v. 将...分配,分配
absent	adj. 缺席的,缺少的 vt. 使缺席
tract	n. 广阔的土地,地域,器官系统,宣传小册子
benefactor	n. 恩人, 捐助者, 赠送者
composite	adj. 合成的,复合的 n. 合成物, 复合材料 vt. 合成
believable	adj. 可相信的
demonstration	n. 示范,实证,表达,集会
dependence	n. 依赖, 信赖，上瘾
thermostat	n. 恒温器
climate	n. 气候, 风气, 气氛
informant	n. 通知者, 密告者 n. 为语言研究提供资料的人
adventure	n. 冒险,奇遇 vt. 冒险,尝试 vi. 大胆进行,冒险
precise	adj. 精确的,准确的,认真的
precision	n. 精确,精密度 adj. 以精准的执行而著称的, 经得起极精细测量的
retaliate	v. 报复, 报仇, 回敬
audio	adj. 成音频率的,声音的 n. 音响设备
dubious	adj. 怀疑的,可疑的
periodical	n. 期刊 adj. 周期的, 定期的
probable	adj. 很可能的 n. 很可能的事
drawer	n. 抽屉
illustrate	vt. 举例说明,作图解 vi. 举例
fossil	adj. 化石的 n. 化石,食古不化的人,过时的词
epidemic	n. 传染病, 流行病 adj. 流行的, 传染性的
foundation	n. 基础；地基；基金会；根据；创立
pacify	vt. 使...平静, 安慰
unpredictable	adj. 不可预知的
fume	n. 臭气, 烟, 激怒 v. 熏, 冒烟
comment	n. 注释, 评论; 闲话 v. 注释, 评论
impossible	adj. 不可能的
vegetative	adj. 植物生长的，植物人状态的
objection	n. 反对,异议
probably	adv. 大概,或许
anxious	adj. 焦急的, 忧虑的
participation	n. 参加, 参与
peer	vi. 凝视，盯着看；窥视 vt. 封为贵族；与…同等 n. 贵族；同等的人
occasionally	adv. 偶尔地
durable	adj. 耐用持久的 n. (复)耐用品
complicate	vt. 弄复杂, 使错综, 使起纠纷
dust	n. 灰尘,无价值之物,屈辱状态 vt. 拂去灰尘, 撒上粉状物体,大胜 vi. 擦拭灰尘
prompt	adj. 迅速的, 敏捷的, 立刻的 vt. 激起, 促进, 推动; 提示 vi. 提示 n. 提示; 提示的内容 n. [商]付款期限
improvise	v. 即席写作,即席即兴,即席而作
compel	v. 强迫,迫使
requisite	adj. 必要的, 需要的 n. 必需品
fund	n.基金； 储备； 现款； 特别基金管理机构 vt.积存； 为…提供资金； 提供资金偿付（债款等）的本息； 把（短期借款）转为有固定利息的长期借款
association	n. 联合,结合,交往,协会,社团,联想
numerous	adj. 为数众多的,许多
inventive	adj. 善于创造的, 发明的
concrete	n. 水泥,混凝土 adj. 具体的,实在的,水泥的 vt. &vi. 凝结,结合
ancestral	adj. 祖先的, 祖传的
variability	n. 易变, 变化性, 变异性
effective	adj. 有效的,有影响的
photocopier	n. 复印机
valid	adj. 有确实根据的; 有效的; 正当的, 合法的
surrender	vt. &vi. 投降,让与,屈服 n. 投降,屈服,放弃
inspire	vt. 影响，使...感动, 激发，煽动 vi. 吸入
consequence	n. 结果,后果
detach	vt. 使分离, 拆卸 [计算机] 脱离
